"TestID","PreviousSource","Application","Role","Module","Feature","Scenario","PreviousResult","CurrentResult","Delta","ExecutionEnvironment","PreviousDefect","CurrentDefect","PreviousBlocker","CurrentBlocker","Evidence","Notes"
"QA-0023","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Authentication","Offline double click emits one login attempt","Offline double click emits one login attempt","PASS","N/A","PASS -> N/A","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","","","","Current Customer application uses phone OTP with guest entry; historical email/password/registration control is absent."
"QA-0024","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Authentication","Browser email login integration","Browser email login integration","FAIL","N/A","FAIL -> N/A","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","","","","Current Customer application uses phone OTP with guest entry; historical email/password/registration control is absent."
"QA-0025","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Authentication","Google sign-in configuration feedback","Google sign-in configuration feedback","FAIL","N/A","FAIL -> N/A","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","","","","Current Customer application uses phone OTP with guest entry; historical email/password/registration control is absent."
"QA-0026","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Authentication","Login back arrow navigation","Login back arrow navigation","FAIL","N/A","FAIL -> N/A","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","","","","Current Customer application uses phone OTP with guest entry; historical email/password/registration control is absent."
"QA-0027","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Authentication","Password visibility toggle","Password visibility toggle","NOT APPLICABLE","N/A","NOT APPLICABLE -> N/A","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","","","","Current Customer application uses phone OTP with guest entry; historical email/password/registration control is absent."
"QA-0028","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Authentication","Customer OTP resend/expiry/incorrect code","Customer OTP resend/expiry/incorrect code","NOT APPLICABLE","BLOCKED","NOT APPLICABLE -> BLOCKED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","LOCAL-CUSTOMER-OTP-001","","No real Customer browser session.","logs/customer-local-env-recheck-continuation.json","No real Customer browser session."
"QA-0029","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Authentication","Enter from password input submits login","Enter from password input submits login","NOT TESTED","N/A","NOT TESTED -> N/A","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","","","","Current Customer application uses phone OTP with guest entry; historical email/password/registration control is absent."
"QA-0030","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Registration","Create account persisted","Create account persisted","BLOCKED","N/A","BLOCKED -> N/A","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","Registration completion unavailable; password probes stopped at phone validation and do not establish password validator behavior","","","Current Customer application uses phone OTP with guest entry; historical email/password/registration control is absent."
"QA-0031","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Registration","Duplicate account","Duplicate account","BLOCKED","N/A","BLOCKED -> N/A","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","Registration completion unavailable; password probes stopped at phone validation and do not establish password validator behavior","","","Current Customer application uses phone OTP with guest entry; historical email/password/registration control is absent."
"QA-0032","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Registration","Profile creation","Profile creation","BLOCKED","N/A","BLOCKED -> N/A","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","Registration completion unavailable; password probes stopped at phone validation and do not establish password validator behavior","","","Current Customer application uses phone OTP with guest entry; historical email/password/registration control is absent."
"QA-0033","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Registration","Password length","Password length","BLOCKED","N/A","BLOCKED -> N/A","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","Registration completion unavailable; password probes stopped at phone validation and do not establish password validator behavior","","","Current Customer application uses phone OTP with guest entry; historical email/password/registration control is absent."
"QA-0034","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Registration","Password mismatch","Password mismatch","BLOCKED","N/A","BLOCKED -> N/A","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","Registration completion unavailable; password probes stopped at phone validation and do not establish password validator behavior","","","Current Customer application uses phone OTP with guest entry; historical email/password/registration control is absent."
"QA-0035","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Registration","Long values","Long values","BLOCKED","N/A","BLOCKED -> N/A","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","Registration completion unavailable; password probes stopped at phone validation and do not establish password validator behavior","","","Current Customer application uses phone OTP with guest entry; historical email/password/registration control is absent."
"QA-0036","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Registration","Unicode values","Unicode values","BLOCKED","N/A","BLOCKED -> N/A","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","Registration completion unavailable; password probes stopped at phone validation and do not establish password validator behavior","","","Current Customer application uses phone OTP with guest entry; historical email/password/registration control is absent."
"QA-0037","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Registration","Registration duplicate submit","Registration duplicate submit","BLOCKED","N/A","BLOCKED -> N/A","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","Registration completion unavailable; password probes stopped at phone validation and do not establish password validator behavior","","","Current Customer application uses phone OTP with guest entry; historical email/password/registration control is absent."
"QA-0038","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Home","Header actions","Header actions","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass."
"QA-0039","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Home","Location/address selector","Location/address selector","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass."
"QA-0040","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Home","Home search","Home search","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass."
"QA-0041","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Home","Category cards","Category cards","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass."
"QA-0042","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Home","Featured products","Featured products","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass."
"QA-0043","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Home","Featured services","Featured services","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass."
"QA-0044","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Home","Every product/service card","Every product/service card","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass."
"QA-0045","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Home","Bottom navigation","Bottom navigation","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass."
"QA-0046","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Home","Loading states","Loading states","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass."
"QA-0047","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Home","Empty states","Empty states","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass."
"QA-0048","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Home","API-backed content comparison","API-backed content comparison","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass."
"QA-0049","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Home","Refresh behavior","Refresh behavior","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass."
"QA-0050","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Home","Notifications","Notifications","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass."
"QA-0051","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Catalog","Category browse","Category browse","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass."
"QA-0052","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Catalog","Product list","Product list","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass."
"QA-0053","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Catalog","Product detail","Product detail","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass."
"QA-0054","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Catalog","UI search empty","UI search empty","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass."
"QA-0055","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Catalog","UI search partial","UI search partial","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass."
"QA-0056","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Catalog","UI search case","UI search case","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass."
"QA-0057","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Catalog","UI search special characters","UI search special characters","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass."
"QA-0058","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Catalog","Filters","Filters","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass."
"QA-0059","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Catalog","Sorting","Sorting","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass."
"QA-0060","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Catalog","Out of stock","Out of stock","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass."
"QA-0061","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Catalog","Low stock","Low stock","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass."
"QA-0062","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Catalog","Quantity selection","Quantity selection","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass."
"QA-0063","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Catalog","Back navigation","Back navigation","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass."
"QA-0064","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Catalog","Refresh","Refresh","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass."
"QA-0065","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Catalog","Display-to-API match","Display-to-API match","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass."
"QA-0066","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Cart","Add product","Add product","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass."
