"Test ID","Previous Source File","Application","Role","Module","Feature","Scenario","Previous Result","Current Result","Delta","Previous Defect ID","Current Defect ID","Previous Blocker","Current Blocker","Current Evidence","Notes","Priority","ImmediateRetest"
"QA-0335","reports/full-e2e-qa/coverage-cases.csv","Admin","ADMIN FAMILY","SUPER_ADMIN","Forbidden navigation","Forbidden navigation","BLOCKED","","","","","","","","","1","Y"
"QA-0332","reports/full-e2e-qa/coverage-cases.csv","Admin","ADMIN FAMILY","SUPER_ADMIN","Login","Login","BLOCKED","","","","","","","","","1","Y"
"QA-0329","reports/full-e2e-qa/coverage-cases.csv","Admin","ADMIN FAMILY","ADMIN","Session restore","Session restore","BLOCKED","","","","","","","","","1","Y"
"QA-0330","reports/full-e2e-qa/coverage-cases.csv","Admin","ADMIN FAMILY","ADMIN","Logout","Logout","BLOCKED","","","","","","","","","1","Y"
"QA-0331","reports/full-e2e-qa/coverage-cases.csv","Admin","ADMIN FAMILY","ADMIN","Post-logout protection","Post-logout protection","BLOCKED","","","","","","","","","1","Y"
"QA-0352","reports/full-e2e-qa/coverage-cases.csv","Admin","ADMIN FAMILY","PLUMBER_MANAGER","Login","Login","BLOCKED","","","","","","","","","1","Y"
"QA-0373","reports/full-e2e-qa/coverage-cases.csv","Admin","ADMIN FAMILY","SUPPORT_ADMIN","Landing page","Landing page","BLOCKED","","","","","","","","","1","Y"
"QA-0374","reports/full-e2e-qa/coverage-cases.csv","Admin","ADMIN FAMILY","SUPPORT_ADMIN","Allowed navigation","Allowed navigation","BLOCKED","","","","","","","","","1","Y"
"QA-0375","reports/full-e2e-qa/coverage-cases.csv","Admin","ADMIN FAMILY","SUPPORT_ADMIN","Forbidden navigation","Forbidden navigation","BLOCKED","","","","","","","","","1","Y"
"QA-0372","reports/full-e2e-qa/coverage-cases.csv","Admin","ADMIN FAMILY","SUPPORT_ADMIN","Login","Login","BLOCKED","","","","","","","","","1","Y"
"QA-0369","reports/full-e2e-qa/coverage-cases.csv","Admin","ADMIN FAMILY","FINANCE_ADMIN","Session restore","Session restore","BLOCKED","","","","","","","","","1","Y"
"QA-0370","reports/full-e2e-qa/coverage-cases.csv","Admin","ADMIN FAMILY","FINANCE_ADMIN","Logout","Logout","BLOCKED","","","","","","","","","1","Y"
"QA-0371","reports/full-e2e-qa/coverage-cases.csv","Admin","ADMIN FAMILY","FINANCE_ADMIN","Post-logout protection","Post-logout protection","BLOCKED","","","","","","","","","1","Y"
"QA-0376","reports/full-e2e-qa/coverage-cases.csv","Admin","ADMIN FAMILY","SUPPORT_ADMIN","Allowed API","Allowed API","BLOCKED","","","","","","","","","1","Y"
"QA-0381","reports/full-e2e-qa/coverage-cases.csv","Admin","ADMIN FAMILY","SUPPORT_ADMIN","Post-logout protection","Post-logout protection","BLOCKED","","","","","","","","","1","Y"
"QA-0382","reports/full-e2e-qa/coverage-cases.csv","Admin","ADMIN FAMILY","MARKETING_ADMIN","Login","Login","BLOCKED","","","","","","","","","1","Y"
"QA-0383","reports/full-e2e-qa/coverage-cases.csv","Admin","ADMIN FAMILY","MARKETING_ADMIN","Landing page","Landing page","BLOCKED","","","","","","","","","1","Y"
"QA-0380","reports/full-e2e-qa/coverage-cases.csv","Admin","ADMIN FAMILY","SUPPORT_ADMIN","Logout","Logout","BLOCKED","","","","","","","","","1","Y"
"QA-0377","reports/full-e2e-qa/coverage-cases.csv","Admin","ADMIN FAMILY","SUPPORT_ADMIN","Forbidden API","Forbidden API","BLOCKED","","","","","","","","","1","Y"
"QA-0378","reports/full-e2e-qa/coverage-cases.csv","Admin","ADMIN FAMILY","SUPPORT_ADMIN","Profile","Profile","BLOCKED","","","","","","","","","1","Y"
"QA-0379","reports/full-e2e-qa/coverage-cases.csv","Admin","ADMIN FAMILY","SUPPORT_ADMIN","Session restore","Session restore","BLOCKED","","","","","","","","","1","Y"
"QA-0368","reports/full-e2e-qa/coverage-cases.csv","Admin","ADMIN FAMILY","FINANCE_ADMIN","Profile","Profile","BLOCKED","","","","","","","","","1","Y"
"QA-0357","reports/full-e2e-qa/coverage-cases.csv","Admin","ADMIN FAMILY","PLUMBER_MANAGER","Forbidden API","Forbidden API","BLOCKED","","","","","","","","","1","Y"
"QA-0358","reports/full-e2e-qa/coverage-cases.csv","Admin","ADMIN FAMILY","PLUMBER_MANAGER","Profile","Profile","BLOCKED","","","","","","","","","1","Y"
"QA-0359","reports/full-e2e-qa/coverage-cases.csv","Admin","ADMIN FAMILY","PLUMBER_MANAGER","Session restore","Session restore","BLOCKED","","","","","","","","","1","Y"
"QA-0356","reports/full-e2e-qa/coverage-cases.csv","Admin","ADMIN FAMILY","PLUMBER_MANAGER","Allowed API","Allowed API","BLOCKED","","","","","","","","","1","Y"
"QA-0353","reports/full-e2e-qa/coverage-cases.csv","Admin","ADMIN FAMILY","PLUMBER_MANAGER","Landing page","Landing page","BLOCKED","","","","","","","","","1","Y"
"QA-0354","reports/full-e2e-qa/coverage-cases.csv","Admin","ADMIN FAMILY","PLUMBER_MANAGER","Allowed navigation","Allowed navigation","BLOCKED","","","","","","","","","1","Y"
"QA-0355","reports/full-e2e-qa/coverage-cases.csv","Admin","ADMIN FAMILY","PLUMBER_MANAGER","Forbidden navigation","Forbidden navigation","BLOCKED","","","","","","","","","1","Y"
"QA-0360","reports/full-e2e-qa/coverage-cases.csv","Admin","ADMIN FAMILY","PLUMBER_MANAGER","Logout","Logout","BLOCKED","","","","","","","","","1","Y"
"QA-0365","reports/full-e2e-qa/coverage-cases.csv","Admin","ADMIN FAMILY","FINANCE_ADMIN","Forbidden navigation","Forbidden navigation","BLOCKED","","","","","","","","","1","Y"
"QA-0366","reports/full-e2e-qa/coverage-cases.csv","Admin","ADMIN FAMILY","FINANCE_ADMIN","Allowed API","Allowed API","BLOCKED","","","","","","","","","1","Y"
"QA-0367","reports/full-e2e-qa/coverage-cases.csv","Admin","ADMIN FAMILY","FINANCE_ADMIN","Forbidden API","Forbidden API","BLOCKED","","","","","","","","","1","Y"
"QA-0364","reports/full-e2e-qa/coverage-cases.csv","Admin","ADMIN FAMILY","FINANCE_ADMIN","Allowed navigation","Allowed navigation","BLOCKED","","","","","","","","","1","Y"
"QA-0361","reports/full-e2e-qa/coverage-cases.csv","Admin","ADMIN FAMILY","PLUMBER_MANAGER","Post-logout protection","Post-logout protection","BLOCKED","","","","","","","","","1","Y"
"QA-0362","reports/full-e2e-qa/coverage-cases.csv","Admin","ADMIN FAMILY","FINANCE_ADMIN","Login","Login","BLOCKED","","","","","","","","","1","Y"
"QA-0363","reports/full-e2e-qa/coverage-cases.csv","Admin","ADMIN FAMILY","FINANCE_ADMIN","Landing page","Landing page","BLOCKED","","","","","","","","","1","Y"
"QA-0275","reports/full-e2e-qa/coverage-cases.csv","Store","STORE_MANAGER","Materials","Prepare","Prepare","BLOCKED","","","","","","","","","1","Y"
"QA-0276","reports/full-e2e-qa/coverage-cases.csv","Store","STORE_MANAGER","Materials","Ready for pickup","Ready for pickup","BLOCKED","","","","","","","","","1","Y"
"QA-0277","reports/full-e2e-qa/coverage-cases.csv","Store","STORE_MANAGER","Materials","Collection confirmation","Collection confirmation","BLOCKED","","","","","","","","","1","Y"
"QA-0274","reports/full-e2e-qa/coverage-cases.csv","Store","STORE_MANAGER","Materials","Partial approval","Partial approval","BLOCKED","","","","","","","","","1","Y"
"QA-0271","reports/full-e2e-qa/coverage-cases.csv","Store","STORE_MANAGER","Materials","Details","Details","BLOCKED","","","","","","","","","1","Y"
"QA-0272","reports/full-e2e-qa/coverage-cases.csv","Store","STORE_MANAGER","Materials","Approve","Approve","BLOCKED","","","","","","","","","1","Y"
"QA-0273","reports/full-e2e-qa/coverage-cases.csv","Store","STORE_MANAGER","Materials","Reject","Reject","BLOCKED","","","","","","","","","1","Y"
"QA-0278","reports/full-e2e-qa/coverage-cases.csv","Store","STORE_MANAGER","Materials","Duplicate operations","Duplicate operations","BLOCKED","","","","","","","","","1","Y"
"QA-0283","reports/full-e2e-qa/coverage-cases.csv","Store","STORE_MANAGER","Product orders","Ready for pickup","Ready for pickup","BLOCKED","","","","","","","","","1","Y"
"QA-0284","reports/full-e2e-qa/coverage-cases.csv","Store","STORE_MANAGER","Product orders","Collection/completion","Collection/completion","BLOCKED","","","","","","","","","1","Y"
"QA-0285","reports/full-e2e-qa/coverage-cases.csv","Store","STORE_MANAGER","Product orders","Duplicate pack","Duplicate pack","BLOCKED","","","","","","","","","1","Y"
"QA-0282","reports/full-e2e-qa/coverage-cases.csv","Store","STORE_MANAGER","Product orders","Packing","Packing","BLOCKED","","","","","","","","","1","Y"
"QA-0279","reports/full-e2e-qa/coverage-cases.csv","Store","STORE_MANAGER","Materials","Invalid transitions","Invalid transitions","BLOCKED","","","","","","","","","1","Y"
"QA-0280","reports/full-e2e-qa/coverage-cases.csv","Store","STORE_MANAGER","Materials","Confirm before plumber rejection","Confirm before plumber rejection","BLOCKED","","","","","","","","","1","Y"
"QA-0281","reports/full-e2e-qa/coverage-cases.csv","Store","STORE_MANAGER","Product orders","Confirmed","Confirmed","BLOCKED","","","","","","","","","1","Y"
"QA-0270","reports/full-e2e-qa/coverage-cases.csv","Store","STORE_MANAGER","Materials","Pending list","Pending list","BLOCKED","","","","","","","","","1","Y"
"QA-0259","reports/full-e2e-qa/coverage-cases.csv","Store","STORE_MANAGER","Inventory","Reserved stock","Reserved stock","BLOCKED","","","","","","","","","1","Y"
"QA-0260","reports/full-e2e-qa/coverage-cases.csv","Store","STORE_MANAGER","Inventory","Stock state","Stock state","BLOCKED","","","","","","","","","1","Y"
"QA-0261","reports/full-e2e-qa/coverage-cases.csv","Store","STORE_MANAGER","Inventory","Update quantity","Update quantity","BLOCKED","","","","","","","","","1","Y"
"QA-0258","reports/full-e2e-qa/coverage-cases.csv","Store","STORE_MANAGER","Inventory","Available stock","Available stock","BLOCKED","","","","","","","","","1","Y"
"QA-0255","reports/full-e2e-qa/coverage-cases.csv","Store","STORE_MANAGER","Dashboard","Refresh","Refresh","BLOCKED","","","","","","","","","1","Y"
"QA-0256","reports/full-e2e-qa/coverage-cases.csv","Store","STORE_MANAGER","Inventory","List","List","BLOCKED","","","","","","","","","1","Y"
"QA-0257","reports/full-e2e-qa/coverage-cases.csv","Store","STORE_MANAGER","Inventory","Product details","Product details","BLOCKED","","","","","","","","","1","Y"
"QA-0262","reports/full-e2e-qa/coverage-cases.csv","Store","STORE_MANAGER","Inventory","Increase stock","Increase stock","BLOCKED","","","","","","","","","1","Y"
"QA-0267","reports/full-e2e-qa/coverage-cases.csv","Store","STORE_MANAGER","Inventory","Very large number","Very large number","BLOCKED","","","","","","","","","1","Y"
"QA-0268","reports/full-e2e-qa/coverage-cases.csv","Store","STORE_MANAGER","Inventory","Decimal rejection","Decimal rejection","BLOCKED","","","","","","","","","1","Y"
"QA-0269","reports/full-e2e-qa/coverage-cases.csv","Store","STORE_MANAGER","Inventory","Persistence","Persistence","BLOCKED","","","","","","","","","1","Y"
"QA-0266","reports/full-e2e-qa/coverage-cases.csv","Store","STORE_MANAGER","Inventory","Invalid number","Invalid number","BLOCKED","","","","","","","","","1","Y"
"QA-0263","reports/full-e2e-qa/coverage-cases.csv","Store","STORE_MANAGER","Inventory","Decrease stock","Decrease stock","BLOCKED","","","","","","","","","1","Y"
"QA-0264","reports/full-e2e-qa/coverage-cases.csv","Store","STORE_MANAGER","Inventory","Zero stock","Zero stock","BLOCKED","","","","","","","","","1","Y"
"QA-0265","reports/full-e2e-qa/coverage-cases.csv","Store","STORE_MANAGER","Inventory","Negative stock","Negative stock","BLOCKED","","","","","","","","","1","Y"
"QA-0286","reports/full-e2e-qa/coverage-cases.csv","Store","STORE_MANAGER","Product orders","Duplicate accept","Duplicate accept","BLOCKED","","","","","","","","","1","Y"
"QA-0310","reports/full-e2e-qa/coverage-cases.csv","Admin","ADMIN FAMILY","Modules","Inventory","Inventory","BLOCKED","","","","","","","","","1","Y"
"QA-0311","reports/full-e2e-qa/coverage-cases.csv","Admin","ADMIN FAMILY","Modules","Service orders","Service orders","BLOCKED","","","","","","","","","1","Y"
"QA-0312","reports/full-e2e-qa/coverage-cases.csv","Admin","ADMIN FAMILY","Modules","Product orders","Product orders","BLOCKED","","","","","","","","","1","Y"
"QA-0309","reports/full-e2e-qa/coverage-cases.csv","Admin","ADMIN FAMILY","Modules","Stores","Stores","BLOCKED","","","","","","","","","1","Y"
"QA-0306","reports/full-e2e-qa/coverage-cases.csv","Admin","ADMIN FAMILY","Modules","Users","Users","BLOCKED","","","","","","","","","1","Y"
"QA-0307","reports/full-e2e-qa/coverage-cases.csv","Admin","ADMIN FAMILY","Modules","Customer management","Customer management","BLOCKED","","","","","","","","","1","Y"
"QA-0308","reports/full-e2e-qa/coverage-cases.csv","Admin","ADMIN FAMILY","Modules","Plumbers","Plumbers","BLOCKED","","","","","","","","","1","Y"
"QA-0313","reports/full-e2e-qa/coverage-cases.csv","Admin","ADMIN FAMILY","Modules","Material requests","Material requests","BLOCKED","","","","","","","","","1","Y"
"QA-0318","reports/full-e2e-qa/coverage-cases.csv","Admin","ADMIN FAMILY","Modules","Marketing","Marketing","BLOCKED","","","","","","","","","1","Y"
"QA-0319","reports/full-e2e-qa/coverage-cases.csv","Admin","ADMIN FAMILY","Modules","Settings","Settings","BLOCKED","","","","","","","","","1","Y"
"QA-0320","reports/full-e2e-qa/coverage-cases.csv","Admin","ADMIN FAMILY","Modules","Role management","Role management","BLOCKED","","","","","","","","","1","Y"
"QA-0317","reports/full-e2e-qa/coverage-cases.csv","Admin","ADMIN FAMILY","Modules","Plumber management","Plumber management","BLOCKED","","","","","","","","","1","Y"
"QA-0314","reports/full-e2e-qa/coverage-cases.csv","Admin","ADMIN FAMILY","Modules","Support","Support","BLOCKED","","","","","","","","","1","Y"
"QA-0315","reports/full-e2e-qa/coverage-cases.csv","Admin","ADMIN FAMILY","Modules","Finance","Finance","BLOCKED","","","","","","","","","1","Y"
"QA-0316","reports/full-e2e-qa/coverage-cases.csv","Admin","ADMIN FAMILY","Modules","Operations","Operations","BLOCKED","","","","","","","","","1","Y"
"QA-0305","reports/full-e2e-qa/coverage-cases.csv","Admin","ADMIN FAMILY","Modules","Dashboard","Dashboard","BLOCKED","","","","","","","","","1","Y"
"QA-0291","reports/full-e2e-qa/coverage-cases.csv","Store","STORE_MANAGER","Profile/business","History","History","BLOCKED","","","","","","","","","1","Y"
"QA-0292","reports/full-e2e-qa/coverage-cases.csv","Store","STORE_MANAGER","Profile/business","Notifications","Notifications","BLOCKED","","","","","","","","","1","Y"
"QA-0293","reports/full-e2e-qa/coverage-cases.csv","Store","STORE_MANAGER","Profile/business","Sales analytics","Sales analytics","BLOCKED","","","","","","","","","1","Y"
"QA-0290","reports/full-e2e-qa/coverage-cases.csv","Store","STORE_MANAGER","Profile/business","Settings","Settings","BLOCKED","","","","","","","","","1","Y"
"QA-0287","reports/full-e2e-qa/coverage-cases.csv","Store","STORE_MANAGER","Product orders","Proper 4xx invalid operation","Proper 4xx invalid operation","BLOCKED","","","","","","","","","1","Y"
"QA-0288","reports/full-e2e-qa/coverage-cases.csv","Store","STORE_MANAGER","Profile/business","Store details","Store details","BLOCKED","","","","","","","","","1","Y"
"QA-0289","reports/full-e2e-qa/coverage-cases.csv","Store","STORE_MANAGER","Profile/business","Manager details","Manager details","BLOCKED","","","","","","","","","1","Y"
"QA-0294","reports/full-e2e-qa/coverage-cases.csv","Store","STORE_MANAGER","Profile/business","Weekly summary","Weekly summary","BLOCKED","","","","","","","","","1","Y"
"QA-0299","reports/full-e2e-qa/coverage-cases.csv","Store","STORE_MANAGER","Profile/business","Add product","Add product","BLOCKED","","","","","","","","","1","Y"
"QA-0303","reports/full-e2e-qa/coverage-cases.csv","Admin","ADMIN FAMILY","Deployment/authentication","Current branch deployed","Current branch deployed","FAIL","","","","","","","","","1","Y"
"QA-0304","reports/full-e2e-qa/coverage-cases.csv","Admin","ADMIN FAMILY","Deployment/authentication","Correct backend target","Correct backend target","FAIL","","","","","","","","","1","Y"
"QA-0298","reports/full-e2e-qa/coverage-cases.csv","Store","STORE_MANAGER","Profile/business","Low-stock screen","Low-stock screen","BLOCKED","","","","","","","","","1","Y"
"QA-0295","reports/full-e2e-qa/coverage-cases.csv","Store","STORE_MANAGER","Profile/business","Wallet","Wallet","BLOCKED","","","","","","","","","1","Y"
"QA-0296","reports/full-e2e-qa/coverage-cases.csv","Store","STORE_MANAGER","Profile/business","Reviews and ratings","Reviews and ratings","BLOCKED","","","","","","","","","1","Y"
"QA-0297","reports/full-e2e-qa/coverage-cases.csv","Store","STORE_MANAGER","Profile/business","Offers/promotions","Offers/promotions","BLOCKED","","","","","","","","","1","Y"
"QA-0384","reports/full-e2e-qa/coverage-cases.csv","Admin","ADMIN FAMILY","MARKETING_ADMIN","Allowed navigation","Allowed navigation","BLOCKED","","","","","","","","","1","Y"
"QA-0512","reports/full-e2e-qa/coverage-cases.csv","Security","cross-role","Session","Token in console","Token in console","BLOCKED","","","","","","","","","1","Y"
"QA-0513","reports/full-e2e-qa/coverage-cases.csv","Security","cross-role","Session","Token in HTML","Token in HTML","BLOCKED","","","","","","","","","1","Y"
"QA-0514","reports/full-e2e-qa/coverage-cases.csv","Security","cross-role","Session","Token in error","Token in error","BLOCKED","","","","","","","","","1","Y"
"QA-0511","reports/full-e2e-qa/coverage-cases.csv","Security","cross-role","Session","Token in URL","Token in URL","BLOCKED","","","","","","","","","1","Y"
"QA-0508","reports/full-e2e-qa/coverage-cases.csv","Security","cross-role","Session","Session persistence","Session persistence","BLOCKED","","","","","","","","","1","Y"
"QA-0509","reports/full-e2e-qa/coverage-cases.csv","Security","cross-role","Session","Real expired token","Real expired token","BLOCKED","","","","","","","","","1","Y"
"QA-0510","reports/full-e2e-qa/coverage-cases.csv","Security","cross-role","Session","Real invalid signature","Real invalid signature","BLOCKED","","","","","","","","","1","Y"
"QA-0515","reports/full-e2e-qa/coverage-cases.csv","Security","cross-role","Session","Authenticated cache controls","Authenticated cache controls","BLOCKED","","","","","","","","","1","Y"
"QA-0520","reports/full-e2e-qa/coverage-cases.csv","Security","cross-role","Stored/reflected input","Product/search UI XSS","Product/search UI XSS","BLOCKED","","","","","","","","","1","Y"
"QA-0521","reports/full-e2e-qa/coverage-cases.csv","Security","cross-role","Stored/reflected input","Profile XSS","Profile XSS","BLOCKED","","","","","","","","","1","Y"
"QA-0522","reports/full-e2e-qa/coverage-cases.csv","Security","cross-role","Stored/reflected input","Chat XSS","Chat XSS","BLOCKED","","","","","","","","","1","Y"
"QA-0519","reports/full-e2e-qa/coverage-cases.csv","Security","cross-role","Stored/reflected input","Review XSS","Review XSS","BLOCKED","","","","","","","","","1","Y"
"QA-0516","reports/full-e2e-qa/coverage-cases.csv","Security","cross-role","Stored/reflected input","Name XSS","Name XSS","BLOCKED","","","","","","","","","1","Y"
"QA-0517","reports/full-e2e-qa/coverage-cases.csv","Security","cross-role","Stored/reflected input","Address XSS","Address XSS","BLOCKED","","","","","","","","","1","Y"
"QA-0518","reports/full-e2e-qa/coverage-cases.csv","Security","cross-role","Stored/reflected input","Service description XSS","Service description XSS","BLOCKED","","","","","","","","","1","Y"
"QA-0507","reports/full-e2e-qa/coverage-cases.csv","Security","cross-role","Session","Refresh rotation","Refresh rotation","BLOCKED","","","","","","","","","1","Y"
"QA-0496","reports/full-e2e-qa/coverage-cases.csv","Security","cross-role","Authenticated authorization","Store A to store B","Store A to store B","BLOCKED","","","","","","","","","1","Y"
"QA-0497","reports/full-e2e-qa/coverage-cases.csv","Security","cross-role","Authenticated authorization","Finance least privilege","Finance least privilege","BLOCKED","","","","","","","","","1","Y"
"QA-0498","reports/full-e2e-qa/coverage-cases.csv","Security","cross-role","Authenticated authorization","Support least privilege","Support least privilege","BLOCKED","","","","","","","","","1","Y"
"QA-0495","reports/full-e2e-qa/coverage-cases.csv","Security","cross-role","Authenticated authorization","Store to admin APIs","Store to admin APIs","BLOCKED","","","","","","","","","1","Y"
"QA-0492","reports/full-e2e-qa/coverage-cases.csv","Security","cross-role","Authenticated authorization","Customer to store APIs","Customer to store APIs","BLOCKED","","","","","","","","","1","Y"
"QA-0493","reports/full-e2e-qa/coverage-cases.csv","Security","cross-role","Authenticated authorization","Plumber stock update","Plumber stock update","BLOCKED","","","","","","","","","1","Y"
"QA-0494","reports/full-e2e-qa/coverage-cases.csv","Security","cross-role","Authenticated authorization","Customer stock update","Customer stock update","BLOCKED","","","","","","","","","1","Y"
"QA-0499","reports/full-e2e-qa/coverage-cases.csv","Security","cross-role","Authenticated authorization","Plumber manager least privilege","Plumber manager least privilege","BLOCKED","","","","","","","","","1","Y"
"QA-0504","reports/full-e2e-qa/coverage-cases.csv","Security","cross-role","Session","Refresh handling","Refresh handling","BLOCKED","","","","","","","","","1","Y"
"QA-0505","reports/full-e2e-qa/coverage-cases.csv","Security","cross-role","Session","Logout invalidation","Logout invalidation","BLOCKED","","","","","","","","","1","Y"
"QA-0506","reports/full-e2e-qa/coverage-cases.csv","Security","cross-role","Session","Old refresh reuse","Old refresh reuse","BLOCKED","","","","","","","","","1","Y"
"QA-0503","reports/full-e2e-qa/coverage-cases.csv","Security","cross-role","Session","Actual JWT storage","Actual JWT storage","BLOCKED","","","","","","","","","1","Y"
"QA-0500","reports/full-e2e-qa/coverage-cases.csv","Security","cross-role","Authenticated authorization","Operations least privilege","Operations least privilege","BLOCKED","","","","","","","","","1","Y"
"QA-0501","reports/full-e2e-qa/coverage-cases.csv","Security","cross-role","Authenticated authorization","Marketing least privilege","Marketing least privilege","BLOCKED","","","","","","","","","1","Y"
"QA-0502","reports/full-e2e-qa/coverage-cases.csv","Security","cross-role","Authenticated authorization","Client role tamper rejection","Client role tamper rejection","BLOCKED","","","","","","","","","1","Y"
"QA-0523","reports/full-e2e-qa/coverage-cases.csv","Security","cross-role","Stored/reflected input","Admin rendering XSS","Admin rendering XSS","BLOCKED","","","","","","","","","1","Y"
"QA-0628","reports/full-e2e-qa/coverage-cases.csv","Responsive","cross-role","Authenticated major screens","1366x768","1366x768","BLOCKED","","","","","","","","","1","Y"
"QA-0629","reports/full-e2e-qa/coverage-cases.csv","Responsive","cross-role","Authenticated major screens","1440x900","1440x900","BLOCKED","","","","","","","","","1","Y"
"QA-0630","reports/full-e2e-qa/coverage-cases.csv","Responsive","cross-role","Authenticated major screens","1920x1080","1920x1080","BLOCKED","","","","","","","","","1","Y"
"QA-0627","reports/full-e2e-qa/coverage-cases.csv","Responsive","cross-role","Authenticated major screens","1024x768","1024x768","BLOCKED","","","","","","","","","1","Y"
"QA-0624","reports/full-e2e-qa/coverage-cases.csv","Responsive","cross-role","Authenticated major screens","390x844","390x844","BLOCKED","","","","","","","","","1","Y"
"QA-0625","reports/full-e2e-qa/coverage-cases.csv","Responsive","cross-role","Authenticated major screens","412x915","412x915","BLOCKED","","","","","","","","","1","Y"
"QA-0626","reports/full-e2e-qa/coverage-cases.csv","Responsive","cross-role","Authenticated major screens","768x1024","768x1024","BLOCKED","","","","","","","","","1","Y"
