file,basis,status,reason
"store-app/src/screens/offers/OffersPromotionsScreen.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"store-app/src/screens/orders/CollectionConfirmationScreen.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"store-app/src/screens/orders/MaterialRequestDetailScreen.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"store-app/src/screens/orders/MaterialRequestsScreen.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"store-app/src/screens/orders/OrderDetailsScreen.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"store-app/src/screens/orders/OrdersScreen.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"store-app/src/screens/orders/PackingScreen.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"store-app/src/screens/orders/ReadyForPickupScreen.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"store-app/src/screens/profile/AccountScreen.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"store-app/src/screens/profile/NotificationsScreen.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"store-app/src/screens/profile/StoreProfileScreen.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"store-app/src/screens/reviews/ReviewsRatingsScreen.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"store-app/src/screens/reviews/ReviewsRatingsScreenNew.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"store-app/src/screens/wallet/WalletScreen.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"admin-portal/src/app/(shell)/admins/page.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"admin-portal/src/app/(shell)/dashboard/page.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"admin-portal/src/app/(shell)/finance/commission-report/page.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"admin-portal/src/app/(shell)/finance/page.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"admin-portal/src/app/(shell)/finance/payments/page.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"admin-portal/src/app/(shell)/finance/payments/[id]/page.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"admin-portal/src/app/(shell)/finance/payouts/delivery-partners/page.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"admin-portal/src/app/(shell)/finance/payouts/plumbers/page.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"admin-portal/src/app/(shell)/finance/refunds/page.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"admin-portal/src/app/(shell)/finance/settlements/page.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"admin-portal/src/app/(shell)/marketing/banners/page.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"admin-portal/src/app/(shell)/marketing/campaigns/page.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"admin-portal/src/app/(shell)/marketing/campaigns/[id]/page.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"admin-portal/src/app/(shell)/marketing/notifications/page.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"admin-portal/src/app/(shell)/marketing/offers/page.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"admin-portal/src/app/(shell)/marketing/offers/[id]/page.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"admin-portal/src/app/(shell)/marketing/page.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"admin-portal/src/app/(shell)/marketing/segments/page.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"admin-portal/src/app/(shell)/operations/delayed/page.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"admin-portal/src/app/(shell)/operations/delivery-partners/page.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"admin-portal/src/app/(shell)/operations/material-pickups/page.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"admin-portal/src/app/(shell)/operations/material-requests/page.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"admin-portal/src/app/(shell)/operations/orders/page.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"admin-portal/src/app/(shell)/operations/orders/[id]/page.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"admin-portal/src/app/(shell)/operations/page.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"admin-portal/src/app/(shell)/operations/reassignments/page.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"admin-portal/src/app/(shell)/operations/service-jobs/page.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"admin-portal/src/app/(shell)/operations/service-jobs/[id]/page.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"admin-portal/src/app/(shell)/page.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"admin-portal/src/app/(shell)/plumber-manager/earnings/page.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"admin-portal/src/app/(shell)/plumber-manager/kyc/page.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"admin-portal/src/app/(shell)/plumber-manager/kyc/[id]/page.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"admin-portal/src/app/(shell)/plumber-manager/page.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"admin-portal/src/app/(shell)/plumber-manager/performance/page.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"admin-portal/src/app/(shell)/plumber-manager/plumbers/page.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"admin-portal/src/app/(shell)/plumber-manager/plumbers/[id]/page.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"admin-portal/src/app/(shell)/roles/page.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"admin-portal/src/app/(shell)/settings-placeholder/page.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"admin-portal/src/app/(shell)/support/create-ticket/page.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"admin-portal/src/app/(shell)/support/escalations/page.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"admin-portal/src/app/(shell)/support/page.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"admin-portal/src/app/(shell)/support/tickets/page.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"admin-portal/src/app/(shell)/support/tickets/[id]/page.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"admin-portal/src/app/(shell)/support/user-context/page.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"admin-portal/src/app/(shell)/system-health/page.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"admin-portal/src/app/(shell)/users/page.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"admin-portal/src/app/(shell)/users/[id]/page.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"admin-portal/src/app/analytics/page.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"admin-portal/src/app/page.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
