application,screen,control,status,assertion,evidence
"Plumber","Login","Forgot Password?","FAIL","Continue email target retired; validation/recovery/social feedback missing.","2026-09-13T16-02-47-798Z/plumber-actions.json; 2026-09-13T15-55-49-652Z/plumber-login.json"
"Plumber","Login","Google","FAIL","Continue email target retired; validation/recovery/social feedback missing.","2026-09-13T16-02-47-798Z/plumber-actions.json; 2026-09-13T15-55-49-652Z/plumber-login.json"
"Plumber","Login","Facebook","FAIL","Continue email target retired; validation/recovery/social feedback missing.","2026-09-13T16-02-47-798Z/plumber-actions.json; 2026-09-13T15-55-49-652Z/plumber-login.json"
"Plumber","Login","Sign up","FAIL","Exact pointer click opens form, but link absent from recorded keyboard tab loop.","2026-09-13T16-05-36-434Z/plumber-actions.json; 2026-09-13T16-02-47-798Z/plumber-login-keyboard.json"
"Plumber","Registration","Full name","FAIL","All five controls fail accessible-name check. Field-specific numeric/long/Unicode validation not certified.","2026-09-13T16-05-36-434Z/plumber-registration-axe.json"
"Plumber","Registration","Email","FAIL","All five controls fail accessible-name check. Field-specific numeric/long/Unicode validation not certified.","2026-09-13T16-05-36-434Z/plumber-registration-axe.json"
"Plumber","Registration","Mobile number","FAIL","All five controls fail accessible-name check. Field-specific numeric/long/Unicode validation not certified.","2026-09-13T16-05-36-434Z/plumber-registration-axe.json"
"Plumber","Registration","Password","FAIL","All five controls fail accessible-name check. Field-specific numeric/long/Unicode validation not certified.","2026-09-13T16-05-36-434Z/plumber-registration-axe.json"
"Plumber","Registration","Confirm password","FAIL","All five controls fail accessible-name check. Field-specific numeric/long/Unicode validation not certified.","2026-09-13T16-05-36-434Z/plumber-registration-axe.json"
"Plumber","Registration","Create Plumber Account","FAIL","Blank submission produces no visible feedback. Successful creation blocked.","2026-09-13T16-05-36-434Z/plumber-actions.json"
"Plumber","Registration","Already registered? Log in","PASS","Returns to login before QA mobile/OTP test.","2026-09-13T16-05-36-434Z/plumber-actions.json"
"Plumber","OTP","Digit 1","FAIL","Entry exercised; all inputs lack accessible names.","2026-09-13T16-05-36-434Z/plumber-otp-axe.json; 2026-09-13T16-05-36-434Z/plumber-actions.json"
"Plumber","OTP","Digit 2","FAIL","Entry exercised; all inputs lack accessible names.","2026-09-13T16-05-36-434Z/plumber-otp-axe.json; 2026-09-13T16-05-36-434Z/plumber-actions.json"
"Plumber","OTP","Digit 3","FAIL","Entry exercised; all inputs lack accessible names.","2026-09-13T16-05-36-434Z/plumber-otp-axe.json; 2026-09-13T16-05-36-434Z/plumber-actions.json"
"Plumber","OTP","Digit 4","FAIL","Entry exercised; all inputs lack accessible names.","2026-09-13T16-05-36-434Z/plumber-otp-axe.json; 2026-09-13T16-05-36-434Z/plumber-actions.json"
"Plumber","OTP","Digit 5","FAIL","Entry exercised; all inputs lack accessible names.","2026-09-13T16-05-36-434Z/plumber-otp-axe.json; 2026-09-13T16-05-36-434Z/plumber-actions.json"
"Plumber","OTP","Digit 6","FAIL","Entry exercised; all inputs lack accessible names.","2026-09-13T16-05-36-434Z/plumber-otp-axe.json; 2026-09-13T16-05-36-434Z/plumber-actions.json"
"Plumber","OTP","Verify & Continue","FAIL","Controls attempt requests to retired backend. OTP correctness and delivery blocked.","2026-09-13T16-05-36-434Z/plumber-actions.json"
"Plumber","OTP","Resend OTP","FAIL","Controls attempt requests to retired backend. OTP correctness and delivery blocked.","2026-09-13T16-05-36-434Z/plumber-actions.json"
"Plumber","OTP","Back arrow","PASS","Returns to login.","2026-09-13T16-05-36-434Z/plumber-actions.json"
"Store","Login","Email input","PASS","Input editing/focus performed; validation outcomes separate.","2026-09-13T15-55-49-652Z/store-login.json; 2026-09-13T16-08-20-388Z/results.json"
"Store","Login","Password input","PASS","Input editing/focus performed; validation outcomes separate.","2026-09-13T15-55-49-652Z/store-login.json; 2026-09-13T16-08-20-388Z/results.json"
"Store","Login","Remember me","PASS","Visual on/off observed only; no session persistence claim.","2026-09-13T16-00-43-794Z/store-actions.json"
"Store","Login","Forgot Password?","FAIL","Recovery inert; authentication points to retired backend; empty form has no feedback.","2026-09-13T16-00-43-794Z/store-actions.json; 2026-09-13T15-55-49-652Z/store-login.json"
"Store","Login","Log In","FAIL","Recovery inert; authentication points to retired backend; empty form has no feedback.","2026-09-13T16-00-43-794Z/store-actions.json; 2026-09-13T15-55-49-652Z/store-login.json"
"Store","Login","Register Store","PASS","Opens registration.","2026-09-13T16-00-43-794Z/store-actions.json"
"Store","Registration","Manager full name","FAIL","All nine input controls fail accessible-name rule. Independent validators remain unverified where earlier fields block submission.","2026-09-13T16-00-43-794Z/store-registration-axe.json"
"Store","Registration","Email","FAIL","All nine input controls fail accessible-name rule. Independent validators remain unverified where earlier fields block submission.","2026-09-13T16-00-43-794Z/store-registration-axe.json"
"Store","Registration","Mobile number","FAIL","All nine input controls fail accessible-name rule. Independent validators remain unverified where earlier fields block submission.","2026-09-13T16-00-43-794Z/store-registration-axe.json"
"Store","Registration","Store name","FAIL","All nine input controls fail accessible-name rule. Independent validators remain unverified where earlier fields block submission.","2026-09-13T16-00-43-794Z/store-registration-axe.json"
"Store","Registration","Store address","FAIL","All nine input controls fail accessible-name rule. Independent validators remain unverified where earlier fields block submission.","2026-09-13T16-00-43-794Z/store-registration-axe.json"
"Store","Registration","Latitude","FAIL","All nine input controls fail accessible-name rule. Independent validators remain unverified where earlier fields block submission.","2026-09-13T16-00-43-794Z/store-registration-axe.json"
"Store","Registration","Longitude","FAIL","All nine input controls fail accessible-name rule. Independent validators remain unverified where earlier fields block submission.","2026-09-13T16-00-43-794Z/store-registration-axe.json"
"Store","Registration","Password","FAIL","All nine input controls fail accessible-name rule. Independent validators remain unverified where earlier fields block submission.","2026-09-13T16-00-43-794Z/store-registration-axe.json"
"Store","Registration","Confirm password","FAIL","All nine input controls fail accessible-name rule. Independent validators remain unverified where earlier fields block submission.","2026-09-13T16-00-43-794Z/store-registration-axe.json"
"Store","Registration","Create Store Account","FAIL","Blank/partial submit shows no feedback.","2026-09-13T16-05-36-434Z/store-actions.json"
"Store","Registration","Already registered? Log in","PASS","Returns to login.","2026-09-13T16-05-36-434Z/store-actions.json"
"Admin","Login","Email input","PASS","Editing/native required and email validity observed.","2026-09-13T16-08-20-388Z/results.json"
"Admin","Login","Password input","PASS","Editing/native required and email validity observed.","2026-09-13T16-08-20-388Z/results.json"
"Admin","Login","Sign in","FAIL","Targets retired backend and reports Failed to fetch.","2026-09-13T15-55-49-652Z/admin-login.json"
