application,screenEvidence,tag,role,label,text,placeholder,basis,coverage
"store","2026-09-13T15-52-45-611Z/store-02-registration.json","DIV","","","Already registered? Log in","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"admin","2026-09-13T16-00-43-794Z/admin-01-login.json","INPUT","","","","admin@plumbcommerce.com","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"admin","2026-09-13T16-00-43-794Z/admin-01-login.json","INPUT","","","","Password","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"admin","2026-09-13T16-00-43-794Z/admin-01-login.json","BUTTON","","","Sign in","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"admin","2026-09-13T16-00-43-794Z/admin-02-invalid-email.json","INPUT","","","","admin@plumbcommerce.com","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"admin","2026-09-13T16-00-43-794Z/admin-02-invalid-email.json","INPUT","","","","Password","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"admin","2026-09-13T16-00-43-794Z/admin-02-invalid-email.json","BUTTON","","","Sign in","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"admin","2026-09-13T16-00-43-794Z/admin-03-refreshed.json","INPUT","","","","admin@plumbcommerce.com","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"admin","2026-09-13T16-00-43-794Z/admin-03-refreshed.json","INPUT","","","","Password","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"admin","2026-09-13T16-00-43-794Z/admin-03-refreshed.json","BUTTON","","","Sign in","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"admin","2026-09-13T16-00-43-794Z/admin-04-deep-link.json","INPUT","","","","admin@plumbcommerce.com","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"admin","2026-09-13T16-00-43-794Z/admin-04-deep-link.json","INPUT","","","","Password","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"admin","2026-09-13T16-00-43-794Z/admin-04-deep-link.json","BUTTON","","","Sign in","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"admin","2026-09-13T16-00-43-794Z/admin-05-forward.json","INPUT","","","","admin@plumbcommerce.com","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"admin","2026-09-13T16-00-43-794Z/admin-05-forward.json","INPUT","","","","Password","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"admin","2026-09-13T16-00-43-794Z/admin-05-forward.json","BUTTON","","","Sign in","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"customer","2026-09-13T16-00-43-794Z/customer-01-login.json","DIV","","","←","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"customer","2026-09-13T16-00-43-794Z/customer-01-login.json","INPUT","","","","Enter email","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"customer","2026-09-13T16-00-43-794Z/customer-01-login.json","INPUT","","","","Enter password","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"customer","2026-09-13T16-00-43-794Z/customer-01-login.json","BUTTON","button","Login","Login","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"customer","2026-09-13T16-00-43-794Z/customer-01-login.json","DIV","","","Create Account","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"customer","2026-09-13T16-00-43-794Z/customer-01-login.json","BUTTON","button","Continue with Google","Continue with Google","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"customer","2026-09-13T16-00-43-794Z/customer-02-invalid-email.json","DIV","","","←","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"customer","2026-09-13T16-00-43-794Z/customer-02-invalid-email.json","INPUT","","","","Enter email","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"customer","2026-09-13T16-00-43-794Z/customer-02-invalid-email.json","INPUT","","","","Enter password","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"customer","2026-09-13T16-00-43-794Z/customer-02-invalid-email.json","BUTTON","button","Login","","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"customer","2026-09-13T16-00-43-794Z/customer-02-invalid-email.json","DIV","","","Create Account","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"customer","2026-09-13T16-00-43-794Z/customer-02-invalid-email.json","BUTTON","button","Continue with Google","Continue with Google","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"customer","2026-09-13T16-00-43-794Z/customer-03-registration.json","DIV","","","←","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"customer","2026-09-13T16-00-43-794Z/customer-03-registration.json","INPUT","","","","Enter full name","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"customer","2026-09-13T16-00-43-794Z/customer-03-registration.json","INPUT","","","","Enter email","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"customer","2026-09-13T16-00-43-794Z/customer-03-registration.json","INPUT","","","","10-digit mobile number","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"customer","2026-09-13T16-00-43-794Z/customer-03-registration.json","INPUT","","","","Create password","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"customer","2026-09-13T16-00-43-794Z/customer-03-registration.json","INPUT","","","","Confirm password","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"customer","2026-09-13T16-00-43-794Z/customer-03-registration.json","BUTTON","button","Create Account","Create Account","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"customer","2026-09-13T16-00-43-794Z/customer-03-registration.json","DIV","","","Already have an account? Login","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"customer","2026-09-13T16-00-43-794Z/customer-04-registration-empty.json","DIV","","","←","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"customer","2026-09-13T16-00-43-794Z/customer-04-registration-empty.json","INPUT","","","","Enter full name","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"customer","2026-09-13T16-00-43-794Z/customer-04-registration-empty.json","INPUT","","","","Enter email","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"customer","2026-09-13T16-00-43-794Z/customer-04-registration-empty.json","INPUT","","","","10-digit mobile number","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"customer","2026-09-13T16-00-43-794Z/customer-04-registration-empty.json","INPUT","","","","Create password","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"customer","2026-09-13T16-00-43-794Z/customer-04-registration-empty.json","INPUT","","","","Confirm password","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"customer","2026-09-13T16-00-43-794Z/customer-04-registration-empty.json","BUTTON","button","Create Account","Create Account","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"customer","2026-09-13T16-00-43-794Z/customer-04-registration-empty.json","DIV","","","Already have an account? Login","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"customer","2026-09-13T16-00-43-794Z/customer-05-refreshed.json","DIV","","","←","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"customer","2026-09-13T16-00-43-794Z/customer-05-refreshed.json","INPUT","","","","Enter email","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"customer","2026-09-13T16-00-43-794Z/customer-05-refreshed.json","INPUT","","","","Enter password","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"customer","2026-09-13T16-00-43-794Z/customer-05-refreshed.json","BUTTON","button","Login","Login","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"customer","2026-09-13T16-00-43-794Z/customer-05-refreshed.json","DIV","","","Create Account","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"customer","2026-09-13T16-00-43-794Z/customer-05-refreshed.json","BUTTON","button","Continue with Google","Continue with Google","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"customer","2026-09-13T16-00-43-794Z/customer-06-deep-link.json","A","","","Read our documentation to learn more about this error.","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"customer","2026-09-13T16-00-43-794Z/customer-07-forward.json","A","","","Read our documentation to learn more about this error.","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-00-43-794Z/plumber-01-mobile-letters.json","DIV","","","←","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-00-43-794Z/plumber-01-mobile-letters.json","INPUT","","","","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-00-43-794Z/plumber-01-mobile-letters.json","INPUT","","","","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-00-43-794Z/plumber-01-mobile-letters.json","INPUT","","","","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-00-43-794Z/plumber-01-mobile-letters.json","INPUT","","","","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-00-43-794Z/plumber-01-mobile-letters.json","INPUT","","","","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-00-43-794Z/plumber-01-mobile-letters.json","INPUT","","","","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-00-43-794Z/plumber-01-mobile-letters.json","BUTTON","button","Verify & Continue","Verify & Continue","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-00-43-794Z/plumber-02-remember-on.json","DIV","","","←","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-00-43-794Z/plumber-02-remember-on.json","INPUT","","","","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-00-43-794Z/plumber-02-remember-on.json","INPUT","","","","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-00-43-794Z/plumber-02-remember-on.json","INPUT","","","","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-00-43-794Z/plumber-02-remember-on.json","INPUT","","","","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-00-43-794Z/plumber-02-remember-on.json","INPUT","","","","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-00-43-794Z/plumber-02-remember-on.json","INPUT","","","","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-00-43-794Z/plumber-02-remember-on.json","BUTTON","button","Verify & Continue","Verify & Continue","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-00-43-794Z/plumber-03-login.json","DIV","","","←","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-00-43-794Z/plumber-03-login.json","INPUT","","","","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-00-43-794Z/plumber-03-login.json","INPUT","","","","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-00-43-794Z/plumber-03-login.json","INPUT","","","","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-00-43-794Z/plumber-03-login.json","INPUT","","","","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-00-43-794Z/plumber-03-login.json","INPUT","","","","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-00-43-794Z/plumber-03-login.json","INPUT","","","","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-00-43-794Z/plumber-03-login.json","DIV","","","Resend OTP","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-00-43-794Z/plumber-03-login.json","BUTTON","button","Verify & Continue","Verify & Continue","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-00-43-794Z/plumber-04-invalid-email.json","DIV","","","←","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-00-43-794Z/plumber-04-invalid-email.json","INPUT","","","","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-00-43-794Z/plumber-04-invalid-email.json","INPUT","","","","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-00-43-794Z/plumber-04-invalid-email.json","INPUT","","","","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-00-43-794Z/plumber-04-invalid-email.json","INPUT","","","","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-00-43-794Z/plumber-04-invalid-email.json","INPUT","","","","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-00-43-794Z/plumber-04-invalid-email.json","INPUT","","","","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-00-43-794Z/plumber-04-invalid-email.json","DIV","","","Resend OTP","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-00-43-794Z/plumber-04-invalid-email.json","BUTTON","button","Verify & Continue","Verify & Continue","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"store","2026-09-13T16-00-43-794Z/store-01-login.json","INPUT","","","","store@plumbcommerce.com","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"store","2026-09-13T16-00-43-794Z/store-01-login.json","INPUT","","","","••••••••","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"store","2026-09-13T16-00-43-794Z/store-01-login.json","DIV","","","Remember me","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"store","2026-09-13T16-00-43-794Z/store-01-login.json","DIV","","","Forgot Password?","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"store","2026-09-13T16-00-43-794Z/store-01-login.json","BUTTON","button","Log In","Log In","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"store","2026-09-13T16-00-43-794Z/store-01-login.json","DIV","","","Register Store","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"store","2026-09-13T16-00-43-794Z/store-02-invalid-email.json","INPUT","","","","store@plumbcommerce.com","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"store","2026-09-13T16-00-43-794Z/store-02-invalid-email.json","INPUT","","","","••••••••","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"store","2026-09-13T16-00-43-794Z/store-02-invalid-email.json","DIV","","","Remember me","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"store","2026-09-13T16-00-43-794Z/store-02-invalid-email.json","DIV","","","Forgot Password?","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"store","2026-09-13T16-00-43-794Z/store-02-invalid-email.json","BUTTON","button","Log In","","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"store","2026-09-13T16-00-43-794Z/store-02-invalid-email.json","DIV","","","Register Store","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"store","2026-09-13T16-00-43-794Z/store-03-remember-on.json","INPUT","","","","store@plumbcommerce.com","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"store","2026-09-13T16-00-43-794Z/store-03-remember-on.json","INPUT","","","","••••••••","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"store","2026-09-13T16-00-43-794Z/store-03-remember-on.json","DIV","","","✓
Remember me","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"store","2026-09-13T16-00-43-794Z/store-03-remember-on.json","DIV","","","Forgot Password?","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"store","2026-09-13T16-00-43-794Z/store-03-remember-on.json","BUTTON","button","Log In","","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"store","2026-09-13T16-00-43-794Z/store-03-remember-on.json","DIV","","","Register Store","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"store","2026-09-13T16-00-43-794Z/store-04-registration.json","INPUT","","","","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"store","2026-09-13T16-00-43-794Z/store-04-registration.json","INPUT","","","","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"store","2026-09-13T16-00-43-794Z/store-04-registration.json","INPUT","","","","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"store","2026-09-13T16-00-43-794Z/store-04-registration.json","INPUT","","","","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"store","2026-09-13T16-00-43-794Z/store-04-registration.json","INPUT","","","","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"store","2026-09-13T16-00-43-794Z/store-04-registration.json","INPUT","","","","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"store","2026-09-13T16-00-43-794Z/store-04-registration.json","INPUT","","","","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"store","2026-09-13T16-00-43-794Z/store-04-registration.json","INPUT","","","","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"store","2026-09-13T16-00-43-794Z/store-04-registration.json","INPUT","","","","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"store","2026-09-13T16-00-43-794Z/store-04-registration.json","BUTTON","button","Create Store Account","Create Store Account","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"store","2026-09-13T16-00-43-794Z/store-04-registration.json","DIV","","","Already registered? Log in","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"store","2026-09-13T16-00-43-794Z/store-05-registration-empty.json","INPUT","","","","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"store","2026-09-13T16-00-43-794Z/store-05-registration-empty.json","INPUT","","","","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
